showerId,pdgid,x,y,z,t,px,py,pz,e0,weight
0,2212,-11.358660697937012,-3.9290308952331543,6480.98876953125,0.0,50.34174728393555,19.620548248291016,-487.6456604003906,490.62974587818894,2.0737566742637697e-13
1,2212,59.83906555175781,-331.94232177734375,6472.21728515625,0.0,-76.30313110351562,426.7857666015625,-130.10597229003906,452.6541973907014,2.1890848541506878e-13
2,2212,-3.342339038848877,-47.877010345458984,6480.82421875,0.0,15.629134178161621,240.76258850097656,-554.8641357421875,605.0496698534545,1.8014367198158988e-13
3,2212,168.89744567871094,-98.0893783569336,6478.05908203125,0.0,-395.3871765136719,230.26559448242188,-250.9185333251953,521.8365392724659,1.9896163187108617e-13
4,2212,206.64413452148438,160.68238830566406,6475.7197265625,0.0,-328.2779235839844,-255.2063446044922,-166.4736785888672,447.89525460972294,2.2046852099610813e-13
5,2212,-4.230355739593506,244.69302368164062,6476.36962890625,0.0,6.118004322052002,-353.5675048828125,-152.11898803710938,384.95142162015264,2.44087120291393e-13
6,2212,-66.129638671875,5.156944751739502,6480.66162109375,0.0,452.6113586425781,-37.38454055786133,-751.7566528320312,878.2896509251501,1.4028157445569757e-13
7,2212,188.85755920410156,-4.14678430557251,6478.248046875,0.0,-854.7508544921875,20.113834381103516,-485.57611083984375,983.2536544590024,1.30051745193173e-13
8,2212,-70.70384216308594,-155.75155639648438,6478.7421875,0.0,307.3930358886719,681.3917846679688,-470.8133239746094,883.4310548978195,1.3973338543395397e-13
9,2212,-201.9715118408203,-115.58788299560547,6476.80615234375,0.0,605.6084594726562,347.2255554199219,-316.85052490234375,766.6299287481594,1.536810751807719e-13
10,2212,127.8792495727539,15.448304176330566,6479.72265625,0.0,-461.41937255859375,-56.34922409057617,-392.7874450683594,608.576247836954,1.7944211987612166e-13
11,2212,-129.9122314453125,744.7569580078125,6436.72216796875,0.0,130.7962188720703,-748.1762084960938,-66.00373077392578,762.3855863714225,1.5425467592514055e-13
12,2212,-129.56739807128906,132.98178100585938,6478.35400390625,0.0,483.9017028808594,-497.14166259765625,-402.19158935546875,801.9156846512203,1.4911008709852554e-13
13,2212,86.7089614868164,-173.9529571533203,6478.08642578125,0.0,-171.65472412109375,343.6465759277344,-211.6976776123047,438.60485652394254,2.235954483936492e-13
14,2212,27.62752342224121,32.6634635925293,6480.85693359375,0.0,-113.25481414794922,-135.8278350830078,-451.3572692871094,484.7672000551806,2.0905703861399663e-13
15,2212,-178.92596435546875,83.31205749511719,6477.98681640625,0.0,764.7427368164062,-354.1552429199219,-456.2789611816406,958.3568646480877,1.323080319558991e-13
16,2212,-68.95513916015625,-77.52214813232422,6480.16943359375,0.0,430.0323791503906,482.9375305175781,-680.3701782226562,938.6480090613792,1.3416490215391087e-13
17,2212,-229.0839385986328,-127.77293395996094,6475.6982421875,0.0,551.5449829101562,308.029296875,-252.35824584960938,680.2709755347228,1.665155567986783e-13
18,2212,-79.62799835205078,30.11239242553711,6480.44580078125,0.0,536.5490112304688,-203.91696166992188,-741.2452392578125,937.5027858259717,1.3427480464306773e-13
19,2212,-377.053466796875,291.52880859375,6463.42236328125,0.0,648.720458984375,-502.07891845703125,-158.94131469726562,835.5739439340934,1.4505299668463167e-13
20,2212,-31.806596755981445,40.11968231201172,6480.79736328125,0.0,193.35317993164062,-241.8111572265625,-663.3679809570312,732.0622692831088,1.585138563457745e-13
