showerId,pdgid,x,y,z,t,px,py,pz,e0,weight
0,13,21.19063949584961,472.5869140625,1.0,369133.625,14.853557684707994,5.351968409700021,-140.99383518932154,141.8750623018187,2.0737566742637697e-13
1,13,625.8473510742188,-24.467784881591797,1.0,1174226.625,-22.274049444811,126.57341107885532,-38.71894458441693,134.22413471703933,2.1890848541506878e-13
2,13,-324.1083679199219,-356.8357849121094,1.0,399284.5,3.131269786722555,51.527502009299496,-120.17058801202438,130.78936706380722,1.8014367198158988e-13
3,-13,57.365943908691406,-162.1595916748047,1.0,742574.5625,-99.20096785120586,56.85294248377522,-63.0945073261355,130.59098723268463,1.9896163187108617e-13
4,-13,80.55286407470703,179.1694793701172,1.0,939895.3125,-117.56196377532433,-91.18212358654091,-59.50539609465977,160.23697186618398,2.2046852099610813e-13
5,13,-74.54890441894531,-442.62158203125,1.0,890135.0625,1.4011671355850837,-101.29208941069965,-43.33911112768715,110.18316205239815,2.44087120291393e-13
6,-13,-214.9141082763672,-225.7346649169922,1.0,427162.65625,103.91170161108857,-8.114727987342462,-173.9181709526365,202.75852813021444,1.4028157445569757e-13
7,-13,-198.3611297607422,295.1109924316406,1.0,725179.0625,-88.54201263531377,2.061968654334237,-50.26216965433696,101.83430372229621,1.30051745193173e-13
8,-13,-278.0052795410156,198.5657958984375,1.0,674498.0625,56.255990804294925,124.00798996323374,-85.61966686280812,160.8522472015627,1.3973338543395397e-13
9,-13,166.72259521484375,345.1915588378906,1.0,853659.5,124.87372193276315,71.58940350525882,-65.43578012246144,158.1149279600599,1.536810751807719e-13
10,13,42.79893493652344,-21.377565383911133,1.0,562154.25,-81.8864374431887,-9.639106268129808,-69.53614002170889,107.85905514097674,1.7944211987612166e-13
11,-13,211.51974487304688,-916.6597900390625,1.0,2534388.0,29.282974968872622,-166.66978201159964,-14.596670199403093,169.85102778532695,1.5425467592514055e-13
12,13,-366.6827087402344,157.248779296875,1.0,714326.75,61.006763498152395,-62.83116512058632,-50.648960283338965,101.16767112429312,1.4911008709852554e-13
13,-13,-525.9811401367188,-60.76222610473633,1.0,740754.5625,-51.74293069869509,102.29619440880379,-62.89355692754043,130.75718630657173,2.235954483936492e-13
14,-13,66.11963653564453,-297.1330261230469,1.0,393474.28125,-31.836890439503804,-37.474005694108655,-127.04290834693893,136.226976979113,2.0905703861399663e-13
15,-13,699.2100219726562,-3.4059135913848877,1.0,750726.6875,133.63167045385035,-62.402350300546004,-79.3527326253693,167.47636503827,1.323080319558991e-13
16,-13,-123.36166381835938,-65.72245025634766,1.0,502070.375,45.602268045490746,51.64503293774487,-72.75729836733262,100.20180010232652,1.3416490215391087e-13
17,-13,-535.2272338867188,5.009520530700684,1.0,940648.3125,199.21368621504826,111.69995280586363,-91.49911522480124,246.03873743608204,1.665155567986783e-13
